Correct word      Predicted word
1जयसवाल   जासवाल
2बजाई   बज़ी
3संघठन   संगथान
4हैवान   हावान
5नीलगिरि   निलगिरी
6द्रुतग्रामी   ड्रुग्रमी
7झड़पों   झदपों
8नकरोंदा   नकरोंडा
9ईईएसएल   एसील
10बचता   बच्ता
11क्रिस्टन   क्रिस्यां
12गुआनाजुआटा   गुनाज़ात
13मन्नाकी   मन्काई
14जिम्मा   जिमामा
15यूं   यून
16बेग   बैग
17चार्मफुल   चार्मकुल
18श्रीपेरू   स्रेपर
19रशियो   रस्सियो
20आईएचएफएल   इफल
21गणिनाथ   गनिनाथ
22बंदीकुई   बंडकी
23लासाले   लासले
24नामदान   नमदान
25डिकेन   डेकानी
26रीडिजाइन   रेडिसिं
27होलोबोन   होलोबों
28इलाकों   इलकों
29आश्चर्यजनक   आश्चर्यांक
30आप्शन   ओप्टियों
31रिकैपिटलाइजेशन   रिक्टिलेजनिसें
32बोर्दो   बोर्डो
33कागज़ों   कागमो
34जटवाड़ा   जाबाबाड़
35स्थिति   स्थित्
36खानकर्मी   खांकरमी
37उपमुख्यमंत्री   उप्मुख्यमंत्री
38रोन   रों
39फेमिलीज   फैमिलेस
40हकलाते   हकलाटे
41नक्सलवादियों   नकस्लादियोंक
42जटिलताओं   जैतिलों
43चिक्कमंगलूरू   चिककमाबुकल
44अंतर्कलह   अंतरकाल
45सुरक्षित   सुक्षित
46ब्लूटिक   ब्लॉटिक
47घिसें   घिसेन
48लीप्ज़िग   लिपिगे
49श्रवणजी   श्वानवांजी
50पोधुंबू   पोडुममु
51भद्रोल   भाडरोल
52मापे   मेप
53कैदोपुर   कैडोपुर
54ट्यूनर   त्युनर
55द्रोपदी   द्रापुड़
56सुपरकॉरिडोर   सुपरकोरोडर
57सियावश   सियावा
58निष्कर्षवायरल   निश्वर्ष्यार्ल
59ऐली   एलीए
60वर्ना   वरना
61भरती   भार्ती
62लाचप्रकरण   लच्करांक
63डगमगाने   दग्माने
64मुसोलिनी   मस्सोलिनी
65मेंहा   मेना
66चेल्सी   चेलसा
67मुड़ने   मुडेन
68वेदर   वेड़र
69क्षेम   शेम
70कान्हाचक   काचका
71स्तरीयता   स्तरिया
72अंतर्कलह   अन्तकर्ला
73विनीत   वनित
74जनजीवन   जन्जिन
75प्रभास   प्राहस
76बायोएजेंट   बिजेंट
77क्लेन   क्लान
78उपकरणों   उपकारकों
79झुंझलाहट   झुंझहाल
80डीटीएच   डीए
81स्वीट्स   स्वेट्स
82प्रोड्यूसर   प्रॉडुकर
83कांडला   कंडला
84गर्भावस्थामें   गारभास्यमेंत
85इकबाल   इकबल
86आल   आला
87परिषदें   परिशदें
88डकलना   दकलाना
89तलपडे   तालपेड
90भूसंपत्ति   भूसंप्टित
91एचईसी   हिक्स
92वीनस   वेन्स
93महाश्मशान   महाशमशन
94इस्तेमारी   इस्टेमरी
95बुथाइलहाइड्रोक्युइनन   बुत्लिल्योरिलोंड
96पर्यायांचा   पर्याच्या
97उर्वरक   उर्वारक
98रामनाम   रामना
99बद्धाघाट   दद्भाभत
100सेट्ठी   शेट्टी
101पड़ोसीपन   पदोसिपान
102परण   परना
103आवंटित   आवान्टित
104विंद्रावती   विंद्रवाती
105बक्ट्रियन   बॉक्टियान
106करोलबाग   करलबाब
107जिराफ   गिरफफ
108बॉटानिकल   बोटिनाल
109सेविंग   सविंग
110ज़ोया   जोआ
111कदमताल   कादमतल
112बाईक   बिके
113बबीना   बाबेना
114विश्लेषणों   विश्लशनों
115जोखिमों   जोखोमो
116अनुप्रयोग   अनुप्योग
117आइटमों   इटेमोन
118प्रसंस्कृत   प्रसनसुक्त्र
119क्रिकबज़   क्रिकबुब
120मौद्रिक   मौदरी
121फेलोपिन   फल्पोलिन
122परछाई   परचाई
123अनादरण   अनदरान
124लती   लाटी
125रेवोल्यूशन   रेकोल्यूं
126चमत्कारीय   चमतक्रिया
127दिमागों   डिमागों
128बैचेन   बेचान
129पहुंचना   पहुंचान
130आहिस्ते   आहिस्टे
131विद्युतीयकरण   विद्युतिकां
132कड़कड़डूमा   काडकडुमाड
133जोड़   जोडी
134राष्ट्रीयकृत   राश्त्रियक्रित
135कटहल   काथल
136मानेगा   मनेगा
137कल्कत्ता   कल्कुट्ट
138जागने   जागेन
139डोमेन   डोमान
140मुख्तार   मुख्तेयर
141घुसपैठियों   घुस्पित्यों
142उपलब्धियां   उप्लबद्यां
143डकैतीरोधी   डकातिरोधी
144ग्रज्जन   ग्रजजन
145रहनुमाई   रहुमानी
146डिएगो   डेगा
147विन्नी   विंगी
148पहुंचाती   पहुचनाती
149जीवविष   जेवविश
150वॉन   वों
151शांभवी   शम्भावी
152विनोदभाई   विनोडाभा
153सीएफए   क्फाई
154पीस   पीक
155विकल्प   विकलप
156छाजूसर   चाजुसर
157चुनौति   चुनौती
158प्रिंसली   प्रिंकली
159घुसपैठियों   घुसपिथियन
160मैया   मैय्या
161बसरखेत   बासक्रेत
162नज़राना   नजराना
163खतों   खटों
164शशिवाला   शाशवाला
165टट्टी   ताटी
166विपरीत   विपरेट
167हवाएं   हवाइिं
168गरीब   गरी
169गूजरी   गुजारी
170बिरहोरों   बिरोहों
171टायरपंक्चर   टर्पेकुंटर
172महाशय   महाश्य
173बाईफ्रिकेशन   बाइक्रिसिं
174वॉल्टर   वोल्टर
175कुब्रा   कुबबरा
176बच्चन   बचचन
177सुनीता   शंती
178समाधानों   समधाओं
179यारशातिर   यारशित्र
180मोरक्कन   मोरकांक
181रूटे   रुटे
182तात्या   तत्या
183सरंचना   सरणचन
184श्मशान   श्माशन
185डाबर   डबर
186बुनाकू   बुनकु
187मैंटल   मंटेल
188शिक्षेरन   शिक्षें
189माॅरिशस   मोरेसिस
190सिसरी   सिस्री
191कर्ट   कुर्ट
192छलैक   छलालक
193एल्विन   अलविन
194सरलसा   सरलास
195घूमती   घुमती
196आगणन   आगनान
197परदेस   पार्डेस
198पावलिकोव्स्की   पालकिलक्सी
199मैग्नेट्रॉन   मंगेट्रों
200जुनशान   जुनशन
201हवाओ   हवो
202जड़ी   जददी
203दंत   डैंड
204बिरसिंहपुर   बिरसिंचुर
205भीर   भेर
206दुबई   डुबाई
207क्वारटेट   क्रार्ट
208गंदलाल   गंडलाल
209इख्तियार   इख्तियर
210निवारणीय   निवारनी
211वंशवादी   वंशवदी
212मापता   मापात
213सक्सेसफ़ुलमैच   सुकेस्लुम्ल्टुच
214छप्पन   छपपन
215मौद्रिक   मैदिकर
216पेटनीस   पेटनिस
217मनहूस   मानुस
218मारते   मार्टे
219पंक्तियों   पंक्यिं
220रंगरूप   राग्नुर
221ललकारे   लक्करे
222यशवर्धन   यावराधं
223सिनेमॉटोग्राफी   जिनेम्टार्गोपी
224शराबियों   श्राबियों
225मैकलॉक्लिन   म्लकलुची
226धंधा   धन्धा
227मारोसन   मरोसन
228लेडीज़   लाडियेस
229डिस्कॉर्सेज   डिस्कोरस
230स्वरुप   स्वारुप
231नामरूप   नामुरप
232लाते   लाटे
233ओशिकाई   अशिकाई
234कुंदरन   कुंदरान
235भालवाल   भावला
236गुंफन   गुमपन
237एथन   इथान
238आंखोंसाझा   अंकोसाहा
239दाली   डले
240रहनुमाई   रानुमाई
241बैंच   बेंच
242खड्डियां   खद्दियां
243पुनरावलोकन   पुनावरालकों
244ढूंढें   धून्धें
245म्हारी   मारी
246संभवानाएँ   समभानवानी
247ट्यूनीसिया   तुनिसिया
248वांचू   वंचु
249आईसीसीएए   इक्या
250पेटीकोट   पेटिकोट
251जाफरपुर   जावरूर
252इकबालिया   इकबलिया
253हरभाल   हर्भाल
254बालिघाट   बालिघा
255विद्या   विध्या
256सहपाल   सहल्प
257इनसाइट्स   इनिसेट
258वाइस   विसे
259कुरू   कुरु
260हर्षदचे   हर्ष्धेच
261देऊसकर   दुसकार
262ट्यून   त्यू
263टेब्स   टेबेस
264नवीं   नेव
265रूधिर   रूधीर
266हटने   हत्ने
267डेयरडेविलस   डारेडेलिस
268नारद   नराड
269रामायण   रामयन
270वार्फरीन   वर्फिर
271मकरमपुर   मक्रमपुर
272अहमदगंज   अहेमदंग
273संयोजकता   संजोकासा
274बुलडोजर   बुलबोड़र
275पंक्चर   पुंक्टुर
276अस्पृश्यता   अस्पृषिया
277बधिया   बाधिया
278दमयंती   दाम्यत्नी
279राजबाग   राजबाह
280स्लाइडरशेयर   स्लेद्रशर
281जयन   जेने
282एलेक्स   एलक
283सेरडांग   सेर्डांग
284फैलाएं   फैफाएं
285जियान   जियां
286कंचों   कांचों
287पटक   पतक
288खलनायकों   खलनकांको
289डिंग्री   डिंगरी
290जिमींदारों   जिमिंदरों
291डाउनलोड   डोक्लानोड
292वासकुनलाहटी   वासकुंसही
293करवानै   कर्वाना
294कुकुनूर   कुकुनुर
295कालन   कलान
296दूसरी   दुस्री
297जायल   जोयाल
298औषधालय   अशुशाला
299एलाइड   एलेइड
300जनसंघ   जनसंग
301आधुनिकता   आधुनिकाता
302विचारने   विचारे
303कुशन   किटियों
304बेग   बेजी
305बीसीबीएस   बीएसएसी
306संघठन   संचता
307मधुवन   मादुबान
308प्रतिनिधिगण   प्रतिंधियां
309कीमोथैरेपीज   चेमोथिरसिप
310सल्फूरिक   सुल्पुरिक
311सुबह   सुबा
312प्रमोद   प्रमोड
313बुलियन्स   बुलियोंस
314जड़ों   जडों
315प्रमिला   प्रेमिला
316कैरोलिन   कारोलिन
317त्रिभाषायी   त्रिशाभी
318स्लैम   स्लम
319पोसालिया   पोसिलाया
320जनोपयोगी   जनापोजिय
