Correct word      Predicted word
1जयसवाल   जैसावल
2संघठन   संघ्ठन
3हैवान   हैवां
4नीलगिरि   निलगिरी
5द्रुतग्रामी   द्रुतगरमम
6नकरोंदा   नाकरोंडा
7ईईएसएल   ईसल
8वोडका   वोड़का
9क्रिस्टन   क्रिस्टियन
10गुआनाजुआटा   गुणानुआता
11शेरशी   शेर्शी
12मन्नाकी   मन्नकी
13यूं   यून
14बेग   बैग
15मारसी   मरसी
16पूस   पीस
17चार्मफुल   चार्मुल
18श्रीपेरू   श्रीपेरु
19रशियो   रसिसयो
20आईएचएफएल   आईएफएफएल
21बंदीकुई   बंदीकु
22लासाले   लसल्ले
23नामदान   नमदन
24रीडिजाइन   रेडिसिग
25क्रूस   क्रस
26महल   महलल
27रिकैपिटलाइजेशन   रेकेपेटिलिजेशन
28बोर्दो   बोर्डो
29कागज़ों   कागजो
30जटवाड़ा   जतबाड़ा
31खानकर्मी   खनकर्मी
32उपमुख्यमंत्री   उपमुख्यममंत्री
33नक्सलवादियों   नकसलवाादियों
34जटिलताओं   जतिलताओं
35चिक्कमंगलूरू   चिक्कामागुलू
36अंतर्कलह   अंतरकलाल
37सुरक्षित   सुर्क्षित
38घिसें   घिसेन
39लीप्ज़िग   लीइ्पिग
40श्रवणजी   श्रवंजजी
41पोधुंबू   पोढ़ुम्ु
42भद्रोल   भदरोल
43मापे   मेपे
44ट्यूनर   त्यूनर
45द्रोपदी   द्रौपदी
46सुपरकॉरिडोर   सुपरकेररडर
47तिरप   टिआरपी
48रियान   रियां
49निष्कर्षवायरल   निश्कर्षववारल
50ऐली   एली
51वर्ना   वरना
52भरती   भारती
53लाचप्रकरण   लचप्रकरण
54डगमगाने   डागमगने
55मेंहा   मेन्हा
56चेल्सी   चेलसिया
57मुड़ने   मुदने
58वेदर   वेदार
59क्षेम   शेम
60कान्हाचक   कन्हक
61स्तरीयता   स्तारियता
62अंतर्कलह   अंतरकलाल
63विनीत   वनीत
64बायोएजेंट   बायोजेंट
65क्लेन   क्लान
66डीटीएच   डीएथ
67प्रोड्यूसर   प्रॉड्यूर
68कांडला   कंडला
69आल   आएल
70परिषदें   परिशदें
71डकलना   दकलना
72तलपडे   तालपडे
73भूसंपत्ति   भूसनपत्ति
74एचईसी   एचआईसी
75वीनस   वीएनएस
76महाश्मशान   महाशमश्न
77बुथाइलहाइड्रोक्युइनन   बायथ्लीलड्ड्यूनिल
78पर्यायांचा   पर्ययांचा
79रामनाम   रामनम
80बद्धाघाट   बद्धघघ
81सेट्ठी   शेटी
82पड़ोसीपन   पदोसिपन
83परण   परना
84आवंटित   आवंतित
85विंद्रावती   विंद्रवती
86जिराफ   गिरफफे
87बॉटानिकल   बोटनिकल
88ज़ोया   ज़ओओ
89कदमताल   कदमतल
90बाईक   बिके
91विश्लेषणों   विश्लेशणों
92जोखिमों   जोखिमो
93आइटमों   इटीमोन
94प्रसंस्कृत   प्रसंस्कररुत
95क्रिकबज़   क्रिकबब
96फेलोपिन   फल्लोपिन
97परछाई   पर्छाई
98रेवोल्यूशन   रिवोल्यूशन
99चमत्कारीय   चमत्कारिया
100बैचेन   बेचैन
101विद्युतीयकरण   विद्युतिकररण
102कड़कड़डूमा   कडकड़डुमा
103भिलाला   भीलाला
104जोड़   जोड
105कटहल   कठल
106मानेगा   मनेगा
107कल्कत्ता   कैलक्टा
108जागने   जगने
109डोमेन   डोमैं
110मुख्तार   मुख्येतार
111घुसपैठियों   घुसपेटियों
112उपलब्धियां   उप्लब्धियां
113डकैतीरोधी   दकातिरोधी
114डिएगो   डेगा
115जीवविष   जीवविश
116वॉन   वों
117शांभवी   शम्भावी
118बधिया   बढ़िया
119चुनौति   चुनौटी
120प्रिंसली   प्रिंसेली
121घुसपैठियों   घुसपैठियां
122मैया   मैय्या
123नज़राना   नजराना
124शशिवाला   शाशीवाला
125टट्टी   तैती
126माडल   मदल
127विपरीत   विप्रीत
128हवाएं   हवायें
129गूजरी   गुजरी
130बिरहोरों   बिरहोों
131टायरपंक्चर   टाइरिपंक्चर
132बाईफ्रिकेशन   बिफ्रिकेशन
133कुब्रा   कुब्बारा
134सुनीता   शांती
135समाधानों   सममधनों
136यारशातिर   यर्षतिर
137तात्या   तत्या
138सरंचना   सरनचाना
139श्मशान   शममश
