Correct word      Predicted word
1 थरमैक्स   थर्मक्स
2 लर्न   लीयर्न
3 इंडिपेंडेंस   इंडेपपेंसस
4 शुरूः   शुरूह
5 अजहर   अझर
6 क़रार   करार
7 अंक   अंका
8 डब्ल्यूपीडी   वीपीडी
9 हाशिए   हाशी
10 उधेड़   अधेेड
11 इकठ्ठी   एक्थी
12 आईडिया   आईडीएए
13 माकेरेरे   मकेरेरे
14 साबूदाने   सबुदाने
15 सेक्वेंट   सिक्वेंट
16 शुऐब   शुउब
17 पानीहाटी   पनिहती
18 समेटती   समेतती
19 उखरुल   उखरूल
20 ब्रह्मलीन   ब्रह्मिलिन
21 दयालपुरा   दयलापुरा
22 तक़रीबन   तकरीबन
23 फर्रूखनगर   फररखुनगर
24 ठेंगा   थेंगा
25 त्यौहारों   त्योईहरों
26 कर्णेश्वरधाम   करनेशवर्धमा
27 उमानाथ   उमानथ
28 दानशील   दांशिल
29 साहित्योत्सव   साहिित्योत्सव
30 शांतिनिकेतन   शांतिनीकतन
31 शिकायतकर्ता   शिकायकतर्ता
32 पंटर   पैंटर
33 लीडरों   लीडारों
34 गलगंड   गालगंड
35 कार्नियां   कार्णियाँ
36 मुर्गीपालन   मुर्गीालान
37 मॉड्यूल्स   मोड्यूल
38 रजौरी   राजौरी
39 शृंगार   श्रींगार
40 लैंगिकता   लैगिकता
41 नाइनटीज   निनेटीज
42 एयरकंडीशनर   इयरकांदीशरण
43 नब्ज़   नब्जज़
44 कुएस   क्वेस
45 बौनी   बाउनी
46 कारगुजारियां   कारागुजरियाँ
47 तापीया   तेपिया
48 तेज़पुर   तेजपुर
49 तलवे   तालवे
50 सीमाई   सीमा
51 दर्शनार्थी   दर्शनार्थि
52 अनुसारका   अनुसररका
53 कोचेला   कोचेेला
54 लटककर   लतककर
55 पत्रावलियां   पत्रवालियां
56 परिषद   परिषाद
57 स्पिन्ज   स्पिंज
58 अनशिदा   अंशिदा
59 डिजीसस   डेजेसुस
60 सरायमोहिउद्दीनपुर   सरायमुउहिद्ीीनपर
61 लॉवेल   लोवेल
62 पैसेंजरजींद   पैसेंजरिंज
63 ग्रंथियों   ग्रन्थियों
64 कैंटरबरी   कैंटररबी
65 काठियावड़ी   काठियावाड़ी
66 टेकचंदानी   तेकचानदानी
67 फ़ीसद   फिसाद
68 बेरहरमी   बेरहरामी
69 निष्कर्षः   निष्कार्षा
70 ऐक्टिविटीज   एक्टिविटीज़
71 रिकैलीब्रेशन   रिकलील्बेरीषण
72 शासनाधिकारियों   शसनाािकारियों
73 डब्ल्यूपीडी   डबल्ीपीडी
74 दस्तार   दस्तर
75 जोड़ता   जोड़्तता
76 गृहनगर   गृह्णगर
77 वंडर   वॉन्डर
78 वाटर   वातर
79 पश्तून   पश्तुन
80 फार्म   फर्म
81 डिबनू   दिबानु
82 उठापटक   उठपतक
83 नीलाभ   निलाभ
84 लक्ष्मीनियां   लक््मीनायाँ
85 महानगरवासियों   महानरगवासियों
86 उपनेता   उपनेटा
87 कन्वेंशन   कननवेशन
88 शाॅर्प   शर्प
89 कुर्वेती   कुरवेती
90 ज़यादा   ज्याड़ा
91 विवेकाधिकारों   विवेकाधिकरों
92 लोकसभावाली   लोकसभावले
93 भ्रांतियों   भ्रान्तियों
94 विवेकहीन   विवेकाहीन
95 बाल्मीकि   बालमिकी
96 हरयाणा   हर्याना
97 जीवराज   जिवराज
98 फ्लिन   फ्लान
99 राणा   राना
100 हैरतअंगेज़   हैरेटेंजेंज
101 तकलीफ़देह   तकलीहहड़
102 पीपाड़   पीपाढ़
103 धभाशारा   धाभाषरा
104 अंतडियां   अंत्दियां
105 राबिन   रोबिन
106 सिंगार   सिंगर
107 गुमशुदगी   गुमशुदगगी
108 फब्ती   फाबती
109 पलटने   पलातने
110 लहलहाती   लहलातती
111 उड़ानें   उडानें
112 जूलूस   जुलूस
113 कार्यभार   कार्यभर
114 पैमाइश   पैमैश
115 पेंषन   पेंशान
116 ऑगस्टावेस्टलैंड   ओग्स्टेसवेललिड
117 सैंट्रींग   सेंट्रींग
118 ऐक्टिवा   एक्टिवा
119 वल्कन   वालकन
120 वृत्तों   वृतुन
121 कबड्डी   कबाड़ी
122 रौनक़   रौनख
123 कैटलिन   केटलिन
124 जनगणना   जनगन्डा
125 उपाख्यानों   उपख्यानों
126 सुंदरम   सुन्द्रम
127 कोचीन   कोचिन
128 फालिया   फलिया
129 एस्वेडो   एसेवेडो
130 कोट्टयम   कोट्तयम
131 कर्वी   कुरवी
132 लेख़न   लेखन
133 नूबिया   नुबिया
134 काजी   कज़ी
135 मुर्गीपालन   मूर्गपालन
136 एड्डी   एडीए
137 नगीने   नेगिन
138 सुब्हा   सुभा
139 लुइस   लूइस
140 बताअाे   बताओ
141 ओकोआ   ओचा
142 ब्रेमटन   ब्रीमर्टन
143 गुरुपदो   गुरूपडोो
144 रालोद   रालोड़
145 बाधाओं   बाढ़ाओं
146 गौमूत्र   गौमुत्र
147 तनी   तानी
148 दिल्ली   देल्ही
149 सुजेन   सुकेन
150 चिमाते   चिमते
151 रॊकेट   रॉकेट
152 मैक्सवेल   मैक्वेल
153 भूलता   भुलता
154 कर्माचारी   कर्माचरी
155 दुर्गापुर   दुर्गपुर
156 सूदखोरों   सूद्खोरों
157 सुरवीन   सरविन
158 प्राप्ती   प्राप्ति
159 गिरिवासियों   गिरीवासियों
160 सिडयूसिंग   सिडकिंग
161 मुक़र्रर   मुकर्रार
162 बैक्सटर   बैक्सरर
163 डेनिअर   डिनियर
164 सीडब्ल्यू   सीवी
165 उठनी   उठानी
166 घासी   घसी
167 इकट्ठा   इकट्था
168 दबोचने   डाबोचने
169 क्रॉस्बी   क्रॉसबी
170 नामीगिरामी   नामीगीरामी
171 हर्ले   हुर्ले
172 जर्दा   जरदा
173 लिएप्रधानमंत्री   लीलेप्राामन्त्री
174 ऐजेंसियों   एजेनस्यों
175 फारसी   फॉर्सी
176 बोसान   बोसां
177 कार्की   करकी
178 गिनते   गिनाटे
179 संम्पत्तियां   सम्म्ततिियाँ
180 पॉलिथीनों   पोलिथीनों
181 एमटेक   म्टके
182 बडबडी   बदबा़ी
183 उल्हासनगर   उल्हसनगर
184 प्रभानमंत्री   प्रभाननमत्री
185 सरायकेला   सररीकला
186 रोमियोविल   रिमोविल
187 राजस्थानवासियों   राजस्थथानाविसों
188 प्रतिरोधात्मक   प्रतिथोरात्मक
189 व्यवस्थापना   व्यवस्थापाना
